"MoiveTitle" "Distributor" "Gross" "MaxTheathers" "Opening" "OpeningTheathers" "OpenDate" "CloseDate" "year"
"Spider-Man" "Sony Pictures Releasing" "$403,706,375" "3,876" "$114,844,116" "3,615" "May 3" "Aug 18" 2002
"The Lord of the Rings: The Two Towers" "New Line Cinema" "$339,785,181" "3,622" "$62,007,528" "3,622" "Dec 18" "Aug 24" 2002
"Star Wars: Episode II - Attack of the Clones" "Twentieth Century Fox" "$302,191,252" "3,161" "$80,027,814" "3,161" "May 16" "Nov 3" 2002
"Harry Potter and the Chamber of Secrets" "Warner Bros." "$261,988,482" "3,682" "$88,357,488" "3,682" "Nov 15" "May 4" 2002
"My Big Fat Greek Wedding" "IFC Films" "$240,742,368" "2,016" "$597,362" "108" "Apr 19" "Apr 13" 2002
"Signs" "Walt Disney Studios Motion Pictures" "$227,647,707" "3,453" "$60,117,080" "3,264" "Aug 2" "Feb 6" 2002
"Austin Powers in Goldmember" "New Line Cinema" "$213,307,889" "3,613" "$73,071,188" "3,613" "Jul 26" "Nov 21" 2002
"Men in Black II" "Sony Pictures Releasing" "$190,418,803" "3,641" "$52,148,751" "3,557" "Jul 3" "Sep 2" 2002
"Ice Age" "Twentieth Century Fox" "$176,387,405" "3,345" "$46,312,454" "3,316" "Mar 15" "Sep 2" 2002
"Chicago" "Miramax" "$169,508,422" "2,701" "$2,074,929" "77" "Dec 27" "Sep 4" 2002
"Catch Me If You Can" "DreamWorks Distribution" "$164,529,436" "3,225" "$30,053,627" "3,156" "Dec 25" "May 22" 2002
"Die Another Day" "Metro-Goldwyn-Mayer (MGM)" "$160,942,139" "3,377" "$47,072,040" "3,314" "Nov 22" "May 1" 2002
"Scooby-Doo" "Warner Bros." "$153,294,164" "3,447" "$54,155,312" "3,447" "Jun 14" "Oct 31" 2002
"Lilo & Stitch" "Walt Disney Studios Motion Pictures" "$145,794,338" "3,222" "$35,260,212" "3,191" "Jun 21" "Nov 26" 2002
"xXx" "Revolution Studios" "$142,109,382" "3,536" "$44,506,103" "3,374" "Aug 9" "Jan 5" 2002
"The Santa Clause 2" "Walt Disney Studios Motion Pictures" "$138,394,397" "3,352" "$29,008,696" "3,350" "Nov 1" "Feb 6" 2002
"Minority Report" "Twentieth Century Fox" "$132,072,926" "3,001" "$35,677,125" "3,001" "Jun 21" "Oct 31" 2002
"The Ring" "DreamWorks Distribution" "$129,128,133" "2,927" "$15,015,393" "1,981" "Oct 18" "Mar 20" 2002
"Mr. Deeds" "Sony Pictures Releasing" "$126,293,452" "3,239" "$37,162,787" "3,231" "Jun 28" "Dec 19" 2002
"Sweet Home Alabama" "Walt Disney Studios Motion Pictures" "$125,753,554" "3,313" "$35,648,740" "3,293" "Sep 27" "Feb 20" 2002
"The Bourne Identity" "Universal Pictures" "$121,661,683" "2,663" "$27,118,640" "2,638" "Jun 14" "Nov 21" 2002
"The Sum of All Fears" "Paramount Pictures" "$118,907,036" "3,230" "$31,178,526" "3,183" "May 31" "Sep 5" 2002
"8 Mile" "Universal Pictures" "$116,732,820" "2,585" "$51,240,555" "2,470" "Nov 8" "Mar 27" 2002
