"ID" "title" "wiki links" "imdbLinks"
"Underworld:_Blood_Wars" "Underworld: Blood Wars" "https://en.wikipedia.org/wiki/Underworld:_Blood_Wars" "https://www.imdb.com/title/tt3717252/"
"Arsenal_(2017_film)" "Arsenal" "https://en.wikipedia.org/wiki/Arsenal_(2017_film)" "https://www.imdb.com/title/tt5580536/"
"Between_Us_(2016_film)" "Between Us" "https://en.wikipedia.org/wiki/Between_Us_(2016_film)" "https://www.imdb.com/title/tt3886604/"
"Monster_Trucks_(film)" "Monster Trucks" "https://en.wikipedia.org/wiki/Monster_Trucks_(film)" "https://www.imdb.com/title/tt3095734/"
"The_Bye_Bye_Man" "The Bye Bye Man" "https://en.wikipedia.org/wiki/The_Bye_Bye_Man" "https://www.imdb.com/title/tt4030600/"
"Sleepless_(2017_film)" "Sleepless" "https://en.wikipedia.org/wiki/Sleepless_(2017_film)" "https://www.imdb.com/title/tt2072233/"
"100_Streets" "100 Streets" "https://en.wikipedia.org/wiki/100_Streets" "https://www.imdb.com/title/tt2990126/"
"The_Book_of_Love_(film)" "The Book of Love" "https://en.wikipedia.org/wiki/The_Book_of_Love_(film)" "https://www.imdb.com/title/tt1330018/"
"Split_(2016_American_film)" "Split" "https://en.wikipedia.org/wiki/Split_(2016_American_film)" "https://www.imdb.com/title/tt4972582/"
"XXx:_Return_of_Xander_Cage" "xXx: Return of Xander Cage" "https://en.wikipedia.org/wiki/XXx:_Return_of_Xander_Cage" "https://www.imdb.com/title/tt1293847/"
"The_Resurrection_of_Gavin_Stone" "The Resurrection of Gavin Stone" "https://en.wikipedia.org/wiki/The_Resurrection_of_Gavin_Stone" "https://www.imdb.com/title/tt4902904/"
"Trespass_Against_Us" "Trespass Against Us" "https://en.wikipedia.org/wiki/Trespass_Against_Us" "https://www.imdb.com/title/tt3305308/"
"Sophie_and_the_Rising_Sun_(film)" "Sophie and the Rising Sun" "https://en.wikipedia.org/wiki/Sophie_and_the_Rising_Sun_(film)" "https://www.imdb.com/title/tt4532818/"
"A_Dog%27s_Purpose_(film)" "A Dog's Purpose" "https://en.wikipedia.org/wiki/A_Dog%27s_Purpose_(film)" "https://www.imdb.com/title/tt1753383/"
